iter	Passed	Remaining
150	390	2197
151	392	2189
152	394	2181
153	395	2174
154	397	2166
155	399	2159
156	400	2152
157	402	2145
158	404	2137
159	405	2129
160	407	2122
161	408	2114
162	410	2106
163	411	2099
164	413	2092
165	415	2085
166	416	2077
167	417	2069
168	419	2061
169	420	2053
170	422	2046
171	423	2039
172	425	2031
173	426	2024
174	427	2016
175	429	2009
176	430	2002
177	432	1995
178	433	1988
179	434	1980
180	435	1970
181	436	1963
182	438	1956
183	439	1949
184	440	1942
185	442	1935
186	443	1929
187	445	1922
188	446	1915
189	447	1908
190	449	1902
191	450	1896
192	451	1889
193	453	1883
194	454	1876
195	456	1870
196	457	1864
197	459	1859
198	460	1854
199	462	1849
200	464	1844
201	465	1838
202	467	1833
203	468	1829
204	470	1824
205	471	1818
206	473	1815
207	475	1810
208	478	1811
209	481	1809
210	486	1819
211	488	1817
212	491	1814
213	493	1811
214	495	1808
215	498	1811
216	500	1807
217	502	1803
218	504	1800
219	506	1795
220	508	1791
221	510	1787
222	512	1785
223	514	1781
224	516	1778
225	518	1774
226	519	1770
227	521	1766
228	523	1762
229	525	1758
230	527	1755
231	529	1751
232	530	1747
233	532	1743
234	534	1739
235	536	1736
236	538	1732
237	540	1729
238	542	1726
239	544	1723
240	545	1718
241	547	1715
242	549	1711
243	551	1707
244	553	1704
245	555	1702
246	557	1699
247	559	1695
248	560	1691
249	562	1688
250	564	1684
251	566	1681
252	568	1677
253	570	1675
254	572	1671
255	573	1668
256	576	1665
257	578	1662
258	580	1660
259	583	1659
260	586	1659
261	588	1657
262	590	1653
263	592	1650
264	593	1647
265	595	1642
266	597	1639
267	598	1635
268	600	1632
269	602	1628
270	603	1624
271	605	1620
272	607	1616
273	609	1614
274	610	1609
275	612	1605
276	615	1605
277	617	1602
278	619	1600
279	621	1597
280	623	1594
281	625	1592
282	627	1589
283	629	1587
284	631	1584
285	633	1581
286	635	1579
287	637	1576
288	639	1573
289	641	1570
290	643	1566
291	644	1563
292	646	1560
293	648	1556
294	650	1553
295	651	1550
296	653	1545
297	654	1542
298	656	1538
299	657	1534
300	658	1529
301	659	1525
302	661	1521
303	662	1516
304	663	1512
305	665	1508
306	666	1504
307	667	1499
308	668	1495
309	670	1492
310	671	1488
311	672	1483
312	674	1479
313	675	1475
314	676	1471
315	677	1467
316	679	1463
317	680	1459
318	681	1455
319	682	1451
320	684	1447
321	686	1444
322	687	1440
323	688	1436
324	689	1432
325	690	1428
326	692	1424
327	693	1421
328	694	1417
329	696	1413
330	697	1409
331	698	1405
332	700	1402
333	701	1399
334	703	1395
335	704	1391
336	705	1388
337	706	1384
338	708	1381
339	709	1377
340	710	1373
341	712	1370
342	713	1367
343	715	1363
344	716	1360
345	718	1357
346	719	1353
347	720	1350
348	721	1346
349	723	1342
350	724	1339
351	725	1335
352	726	1332
353	728	1328
354	729	1325
355	730	1322
356	732	1318
357	733	1315
358	735	1312
359	737	1310
360	738	1307
361	739	1304
362	741	1300
363	742	1297
364	743	1294
365	745	1291
366	746	1287
367	747	1284
368	749	1281
369	750	1277
370	751	1274
371	753	1271
372	754	1268
373	755	1265
374	757	1261
375	758	1258
376	760	1256
377	761	1252
378	762	1249
379	764	1246
380	765	1243
381	766	1240
382	767	1236
383	769	1233
384	770	1230
385	771	1227
386	772	1224
387	774	1221
388	775	1218
389	776	1215
390	778	1212
391	779	1209
392	780	1205
393	781	1202
394	783	1199
395	784	1196
396	785	1193
397	787	1190
398	788	1187
399	789	1184
400	791	1181
401	792	1178
402	793	1175
403	795	1173
404	796	1170
405	797	1166
406	799	1164
407	800	1161
408	801	1158
409	802	1155
410	804	1152
411	805	1149
412	807	1147
413	808	1144
414	810	1141
415	811	1139
416	813	1136
417	814	1134
418	816	1131
419	818	1129
420	819	1127
421	821	1124
422	822	1121
423	823	1119
424	824	1116
425	826	1113
426	827	1110
427	828	1107
428	829	1104
429	831	1101
430	832	1098
431	833	1096
432	835	1093
433	836	1090
434	837	1088
435	839	1085
436	840	1082
437	841	1079
438	842	1076
439	844	1074
440	845	1071
441	846	1069
442	848	1066
443	849	1063
444	850	1061
445	852	1058
446	853	1055
447	854	1052
448	855	1050
449	857	1047
450	858	1044
451	859	1042
452	860	1039
453	862	1037
454	863	1034
